120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
50	0.408	-693.3891	1210.57202	885.36346	-717.20776	1089.18665	906.12439	160.73239	3594.68359	805.76453										854.12149														
51	0.417	-693.33746	1210.59119	885.36462	-548.68555	713.94543	998.86182	161.0533	3592.55298	805.64941										854.39076														
52	0.425	-693.38147	1210.42749	885.44525	161.23708	3590.68872	804.98108													693.38147														
53	0.433	-693.39294	1210.33069	885.50372	161.46492	3589.53589	804.42249													693.39294														
54	0.442	-693.35565	1210.48816	885.42163	-547.77478	715.58472	998.21417	162.24889	3587.49927	804.27936										855.60454														
55	0.45	-693.33557	1210.57788	885.34949	-547.98926	715.04236	998.3927	162.7558	3585.48633	803.79083										856.09137														
56	0.458	-693.37659	1210.6001	885.3631	162.86368	3583.48071	803.08972													693.37659														
57	0.467	-693.32916	1210.51086	885.4118	-549.70135	713.00714	999.43536	163.45255	3580.99561	802.80597										856.78171														
58	0.475	-693.36768	1210.32495	885.56177	164.09631	3579.10254	802.37567													693.36768														
59	0.483	-693.35187	1210.46741	885.45673	-716.71381	1089.19983	905.41473	164.94905	3576.57031	801.91595										858.30092														
60	0.492	-693.36993	1210.5957	885.31445	-546.64246	715.25903	997.80463	165.16118	3574.20239	801.44598										858.53111														
61	0.5	-693.32343	1210.61682	885.31219	-547.49902	714.86707	998.22119	165.65619	3571.30591	801.01929										858.97962														
62	0.508	-693.35223	1210.44995	885.4549	166.58858	3569.10962	800.44745													693.35223														
63	0.517	-693.32214	1210.35144	885.53217	167.25438	3566.27588	800.16656	-549.80719	714.50885	999.19135										143.51495														
64	0.525	-693.33154	1210.4259	885.44946	-547.02734	715.19702	997.97266	167.49382	3563.4165	799.55164										860.82536														
65	0.533	-693.36957	1210.60266	885.35602																693.36957														
66	0.542	-693.32648	1210.58923	885.33612	-550.46887	712.47516	999.83899	169.2119	3557.89233	798.57849										862.53838														
67	0.55	-693.33478	1210.39185	885.47339	-550.27618	713.36768	999.61041	169.85039	3553.86865	798.2616										863.18517														
68	0.558	-693.35718	1210.34314	885.51831	170.45135	3551.41089	797.36481													693.35718														
69	0.567	-693.3252	1210.45386	885.39795	-547.25293	715.55109	998.31635	518.63922	3942.82349	826.66357	171.40884	3547.84229	797.04175							1211.96442														
70	0.575	-693.31818	1210.59766	885.36493	519.71667	3944.85815	825.44647	171.85341	3544.5376	796.31891										865.17159														
71	0.583	-693.30798	1210.5625	885.31714	-548.55084	713.93304	998.80878	514.60712	3944.552	825.82019	172.74472	3541.56567	795.49719							1207.9151														
72	0.592	-693.36792	1210.41467	885.47229	512.84845	3945.6333	825.38477	173.61784	3538.1543	795.0907										866.98576														
73	0.6	-693.36536	1210.30371	885.58752	508.31372	3945.53784	825.45386	174.1601	3534.79004	794.10077										867.52546														
74	0.608	-693.32465	1210.53198	885.38947	-550.27618	713.36768	999.61041	504.86353	3945.94141	825.8606	175.08742	3531.54297	793.56122							1198.18818														
75	0.617	-693.40985	1210.63403	885.32397	-550.44086	713.73822	1000.01697	499.98438	3945.60864	826.15863	176.16083	3527.71704	793.11017							1193.39423														
76	0.625	-693.33026	1210.58813	885.37598	497.18964	3946.104	826.0838	176.5838	3524.68213	792.35797										869.91406														
77	0.633	-693.3559	1210.37549	885.49603	495.7095	3947.55688	825.55402													693.3559														
